WesternProvince,CentralProvince,SouthernProvince,SabaragamuwaProvince,EasternProvince,NothernProvince,NothernWesternProvince,NorthCentralProvince,UvaProvince
Galgamuwa,Bulugolla,Opata,Belihul Oya,,Thunukkai,,, Dambagahapattiya
Galgomuwa,Bulukohotenna,Oture,Belihulwana,,Thunnalai,,, Dambagahapitiya
Galhena,Bulumulla,Ovilikanda,Beliketiya,,Tharmapuram,,, Dambagahawela
Galhetiya Grand Pass,Butalanda,Ovilla,Belimaliyadda,,Thekilpadantan,,, Dambagalla
Habarakada,Butawatta,Ovitipana,Bellangama,,Thekkuluthu,,, Dambakota
Haddagoda,Buwelikada,Owilana,Bellankanda,,Telliyankudiyiruppu,,, Dambawelagama
Hakgalla,Campion,Owilikanda,Beminiwatta,,Thennamaravadi,,, Dambawinna
Hakkurukumbura,Clodagh Eastern Colony,Owilla,Bendaluwa,,Thenniyankulam,,, Dambewela
Hakurukumbura,Dadahogama,Owitigamuwa,Beragala,,Thaentookki,,, Damunuwinna
Hakwadunna,Dadohagama,Owitipana,Berannawa,,Thaenudaiyan,,, Danagirigama
Halanduruwa,Dagampitiya,Padavkema,Berendeniya,,Thanakkarukurichchi,,, Dandugala
Halapitiya,Dagewilla,Paddapitiya,Berenduwa,,Tharmakundu,,, Dandugalla
Halawegoda,Dalupota,Padilikokmaduwa,Berranawa,,Thatchchanthoppu,,, Danigala
Halgampitiya,Daluwela,Paduanga,Beruwala,,Thattantotam,,, Daragala
Hanwella,Damana,Pahajjawa,Betmegedara,,Thavasiyur,,, Darkumbura
Hokandara,Dambagahamada,Pahala Aturaliya,Bewila,,Thevanpaddi,,, Davuldena
Horana,Dambagahamuduna,Pahala Ganegama,Bewilehena,,Thikkam,,, Dawatagolla
Homagama,Dambagolla,Pahala Keembiya,Bibila,,Thikkoddaimadu,,, Dawategama
Iddagoda,Dambagolla,Radagoda,Bibilegama,,Thimilarmadam,,, Debara Ara
Ihala Hewessa,Dambalagala Colony,Radaniara,Binnegama,,Terankandal,,, Debedda
Ihala Imbulgoda,Dambarawa,Radawela,Bintenigolla,,Therumurikandi,,, Debeddekiula
Ihala Karannagoda,Dambarawa,Radompola,Bisowela,,Thettakkuli,,, Deekiligolla
Ihala Naragala,Dambe,Rajapuragoda,Bodawala,,Thettavadimarutankulam,,, Degalaramba
Ihala Neboda,Dambul,Rajjamana,Bodimalgoda,,Tirunelveli East,,, Dehiattawala
Ihala Wadugoda,Dambulla,Rajjammana,Bodimaluwa,,Tirunelveli West,,, Dehiatteyaya
Ihala Welgama,Dambullagama,Rallagerotawewa,Bogahakumbura,,Tirunelveli,,, Dehigama
Ihalapanangala,Damunumeya,Rallerotawewa,Bogahakumburuwela,,Thiruvadinilayam,,, Dehigolla
Ihalayagoda,Damunumulla,Rathgama,Bogala,,Thiruvaiyaru,,, Dehikinda
Ingiriya,Damunupola,Sahabandukokmaduwa,Bogamuwa,,Thottakadu,,, Dehipola
Ja-Ela,Damunupola North,Samodagama,Bogoda-aramba,,Tholakaddy,,, Dehivinna
Jaligoda,Dandenikumbura,Sapugahayaya,Bohara,,Thondaimanaru,,, Deliwa
Jaltara,Dankanda,Sapugoda,Bohettiya,,Thoppu,,, Dematan-Ella
Jambugaswadiya,Danture,Sapugodawela,Bohora,,Thullukudi Kudiyiruppu,,, Dematapelessa
Jambureliya,Dara-oya,Saputantirikanda,Bokolamulla,,Thumpalai,,, Demettanella
Jawatta,Daskara,Seenimodera,Bolagama,,Thumpankerni,,, Demodara
Josnell,Daulagala,Sigiriya,Boltumbe,,Thunnalai,,, Demoderawatta
Kirindiwela,Dawatagahamulatenna,Silvetgama,Bopetta,,Thunavy,,, Denagiriya
Kadawatha,Dedunupitiya,Sinigama,Bopitigoda,,Thuvarankerni,,, Detagamuwa
Kalutara,Dehianga,Talagahadiwela,Bopitiya,,Udaiyadi,,, Dewatagolla
Kumbuka,Dehiattawala,Talagasgoda,Boralankanda,,Udayarsamalankulam,,, Dewatura
Kahatapitiya,Dehideniya,Talagaspe,Boranjamuwa,,Udumbagal,,, Dewitotawela
Kiribathgoda,Dehideniya Madige,Talahagama,Boruggamuwa,,Udaiyarthurai,,, Deyiyannewela
Kottawa,Dehigahatule,Talalla North,Bossella,,Udupattukkandal,,, Diganatenna
Kaduwela,Dehigama,Talalla South,Botiyatenna,,Udupiddy,,, Dijjulana
Kaubedda,Dehigastenna,Talamporuwa,Bowalgaha,,Uduthurai,,, Dikirigolla
Kandana Kotahena,Dehintalawa,Talangalla,Bowatta,,Uduvil,,, Dikkapitiya
Labugama,Dehipagoda,Talangamuwa,Boyagama,,Uduveli,,, Dikwella
Ladduwa,Dehipe,Talangomuwa,Boyagoda,,Ukkulankulam,,, Dikwellagama
Langana,Dehipitiya,Talanwela,Budawatta,,Ulukkulam,,, Dikyaya
Lansiyawatta,Deiannewela,Telijjawila,Budunwela,,Uluvaneri,,, Dimbulamura
Lathpandura,Deiyannewela,Thawalama,Bulatgama,,Umaneri,,, Dimbulana
Latpandura,Dekinda,Uda Ambala,Bulathkohupitiya,,Umayartuvarankulam,,, Dimbulgahagedara
Laulupitiya,Deldeniya,Uda Aparekka,Bulatkohupitiya,,Unchalkaddi,,, Divitotawela
Lenagala,Delgasyaya,Udabalgama,Bulatwatta,,Upparu,,, Diwulgahagedara
Lenewara,Deliwela,Udabatgama,Bulatwelgoda,,Uppukkulam,,, Diyabetma
Leuwanduwa,Delmada,Udaberagama,Bulatwelkanda,,Upputtaravai,,, Diyabetme
Mabima,Delpatkada,Udagangoda,Bulugahapitiya,,Umayaalpuram,,, Diyabokandura
Mabima,Delpawana,Udagomadiya,Bulugammana,,Urani,,, Diyakola
Mabodale,Delpitiya,Udaheragama,Buluruppa,,Urelu,,, Diyaluma
Mabogoda,Deltota,Udakanuketiya,Bulutota,,Uriyan,,, Diyaluwa
Mabole,Demada-oya,Udakerawa,Buluwana,,Urumpirai,,, Diyapola
Mabula,Dembatagastenna,Udakerewa,Bungeriya,,Urvanikanpattu,,, Diyatalawa
Mabulgoda,Dembawa,Udugama,Bungiriya,,Usan,,, Dodan Atulpota
Madabaddara,Demodara,Valamitiyawa,Burunnawa,,Uthiravengai,,, Dodanetulpota
Madabawita,Demunapola North,Velgalla,Buthkanda,,Uthuvayankulam,,, Dodangolla
Madakada,Denapitiya,Vidaneachchigoda,Butkanda,,Uttukkulam,,, Dombagahawela
Maggona,Denike,Vidaneachchilagegoda,Colombage-ara,,Uvari,,, Doolalinda
Maharagama,Devahandiya West,Vidanearachchigoda,Dadayankanda,,Uvarkkulam,,, Doragoda-arawa
Malabe,Devinnegama,Vidanegegama,Dahenpahuwa,,Uvayatikulam,,, Dorapoda
Mathugama,Devita,Viharahena,Dalumurawatta,,Uyarapulam,,, Dulalinda
Mount Lavinia,Devon,Wabalakananke,Damahana,,Uyilankulam,,, Dultota
Nittambuwa,Dewahandiya,Wadiya,Dambawinna,,Uyilankulam,,, Dumbana
Nugegoda,Dewahandiya East,Wadiyagoda,Dambemada,,Vaddukoddai,,, Dummalatenna
Obberiya,Dewahandiya West,Waduborala,Dambulla,,Vadduvakallu,,, Dunikiyana
Ogodapola,Dewahuwa,Wadugegoda,Dambuluwana,,Vadakadu,,, Dunukewela
Okanduwa,Dewatagahamulatenna,Wadumulla,Damme,,Vaddakkachchi,,, Dunukeyana
Olabaduwa,Dibburuwela,Waduwadeniya,Dampelgoda,,Vaddakkandal,,, Dunumewa
Olaboduwa,Dickoya,Waduweliwitiya,Damunupola,,Vaddukkoddai East,,,Edandewela
Omatta,Diddeniya,Wagegoda,Danagama,,Vaddukkoddai West,,, Edandupola
Opalla,Digahawatura,Wagugoda,Dandawa,,Vairandakaddukulam,,, Egalla
Opata,Digala,Wahala,Dandeniya Pahala,,Vaiyakkarai,,, Egodagama
Opatha,Digana,Walgama,Dangampala,,Vakkappaddankandal-Metpuliyankulam,,, Egodakotagama
Opathella,Digane,Weeraketiya,Dankolagune,,Valaiyakadu,,, Egodamulla
Panadura,Diggala,Yakkalamulla,Dankumbura,,Valayanmadam,,, Ehalagahawadiya
Padukka,Dihintalawa,,Dannoruwa,,Valalai,,, Ekeriyankumbura
Radamulla,Dikirillagolla,,Daswatta,,Vallai,,, Ekeriyawatta
Radawadunna,Dikkumbura,,Davulkaragoda,,Vallan,,, Ekiriya
Radawana,Dikoya,,Dayigala Ihala,,Valliyappalai,,, Ekiriyankumbura
Raddalgoda,Dimbula,,Dayigala Pahala,,Vallipuram,,, Ekiriyawatta
Raddegoda,Dimbulgahakotuwa,,Debagama,,Valantalai,,, Ekriyankumbura
Raddoluwa,Dimbulgoda,,Debathgama,,Valappadu,,, Elamalpota
Ragama,Dimbulkumbura,,Dedigama,,Valveddi,,, Elandagoda
Rajagiriya,Dippitiya,,Dedugala,,Valvettiturai,,, Elewala
Rambukkana,Divulgaskotuwa,,Degalaeriya,,Valigramam,,, Elewela
Ramminike,Diyabubula,,Deharagoda,,Vanchiyankulam,,, Ella
Ratmalana,Diyapalagoda,,Dehenakanda Deheragoda,,Vanchiyankulam Mavilankeni,,, Ella Town
Samanabedda,Dodamitiyawa,,Dehigahapitiya,,Vankalai,,, Ella-alutwela
Samanabedde,Dodandeniya,,Dehigampala,,Vankalaikkulam,,, Ellagama
Sambagama,Dodandeniya,,Dehigastalawa,,Vannakulam,,, Ellanda
Sangarama,Dodangolla,,Dehimaduwa,,Vannakulam,,, Ellande
Sapugaskanda,Dodankumbura,,Dehiowita,,Mannar,,, Ellatota
Sapugaskande,Dodanwala,,Dehipahala,,Vannakulam West,,, Ellealutwela
Sarikamulla,Dolapihilla,,Dehipitiya,,Vannamarutankulam,,, Ellegama
Sarikkamulla,Dolosbage,,Deiyagala,,Vannamoddai,,, Ellegama
Sayakkaramulla,Dolosbage Bazaar,,Dela,,Vannankeni,,, Ellekona
Sedawatta,Doluwa,,Delarawa,,Vannankulam,,, Elletota
Tabuwana,Dombagammana,,Deldeniya,,Vannankulam,,, Elwatta
Talagala,Dombagasdeniya,,Delgahagoda,,Jaffna,,, Elwatta
Talagama,Dombagoda,,Delgahatenna,,Vannanpuliyankulam,,, Elwatta
Talahena,Dombawala,,Delgamuwa,,Vannansinnakkulam,,, Embilipitiya
Talahena,Dombawela,,Delgoda Delgomuwa,,Vannarpannai,,, Erabadda
Talahera,Doragomuwa,,Deliwala,,Vannarpannai North West,,, Erabaddegama
Talahitiya,Dorakumbura,,Dellaboda,,Vannarpannai South East,,, Etagama
Talangama,Doraliyadda,,Deloluwa,,Vannarpannai South West,,, Etakumbura
Talangama North,Doranegama,,Delpatdeniya,,Vannivilankulam,,, Etambagaskandura
Talangama South,Dowita,,Delpothdeniya,,Vannichchiyatidal,,, Etanamada
Uda Kanugala,Dowitagammedda,,Delwala,,Vanniyanmadu,,, Etandagoda
Udagama,Dullewa,,Demada,,Vairava Pulo Kulam,,, Etiliwewa
Udaganella,Dulmure,,Demalahiriya,,Vannikulam,,, Etimale
Udahamulla,Dulwela,,Demanagammana,,Varani,,, Etimole
Udahamulupattiya,Dumbukola,,Dembatanpitiya,,Varanilvattalai,,, Etimole
Udakamanpella,Dunkumbura,,Demodara,,Variveli,,, Etimole Colony
Udakamanpelle,Dunukaula,,Denagama,,Vairavarpuliyankulam,,, Etkandawaka
Udakananpella,Dunukebedda,,Denawaka Patakada,,Varuthalaivilan,,, Etpattiya
Udamapitigama,Dunukeula,,Denawaka Udakada,,Vasavilan,,, Ettalapitiya
Vavulagallana,Dunukewatta,,Denawakawatta,,Vatharaveddai,,, Ettalawela
Veyangoda,Dunuwila,,Denihena,,Vattirayan,,, Ettampitiya
Vitanamulla,Ebbawala,,Denuwakanda,,Vathiri,,, Ettampitiya Town
Waddegoda,Edanduwawa,,Depedene,,Vattappalai,,, Ettanipitiya
Wadduwa,Egodagama,,Deraniyagala,,Vavunikulam,,, Ewariyapelassa
Wadugama,Egodakanda,,Dessepota,,Vavuniya,,, Ewariyapelessa
Wadugoda,Egodamulla,,Detabodakanda,,Vavuniyanperiyakulam,,,Gabadagoda
Wadumulla,Egodawela,,Detawala,,Vayittiyankudiyiruppu,,, Gadadehigolla
Wadurawa,Ehalagastenna,,Devanagala,,Vedamakilankulam,,, Gal Oya
Waduruwa,Ehalamalpe,,Dewalagama,,Veddaiyadaippu,,, Galabedda
Waga,Ekamuthugama,,Dewanagala,,Veddayamurippu,,, Galagediyaya
Yakkala,Ekiriya,,Dewaragampola,,Veddukkadu,,, Galahitiyawa
Yatiyanthota,Eladetta,,Digadure,,Vedivaittakallu,,, Galakulugolla
,Elamaldeniya,,Digalla Diganakanda,,Veeman Gramam,,, Galanda
,Elamalwewa,,Digogedara,,Viramanikkatevanturai,,, Galanihegama
,Elgama,,Digowa,,Velakulam,,, Galapitakanda
,Elhanyaya,,Dikelikanda,,Velanai,,, Galauda
,Elikewela,,Dikella,,Velankulam,,, Galawadiya
,Elkaduwa,,Dikellekanda,,Vavuniya,,, Galbokka
,Ellauda,,Dimbulgamuwa,,Velarchinnakkulam,,, Galbokkegama
,Ellekumbura,,Dimbulwala,,Velikkandal,,, Galewadiya
,Ellepola,,Dimiyawa,,Velikkulam,,, Galgamuwa
,Ellewatta,,Dimiyawegodella,,Vellai,,, Galge
,Elliyadda,,Dippitigala,,Vellalakaddu,,, Galgediyawa
,Elotuwa,,Dippitiya,,Vellampakkaddy,,, Galgewela
,Elpitiya,,Divurumpitiya,,Vellamullivaikal,,, Galgoda
,Embalagama,,Diwala Pallegama,,Vellankulam,,, Galgoda-Araluwinna
,Embekka,,Diwala Udagama Diwelgama,,Vempootukeni,,, Galigamuwa
,Embilimigama,,Diyabibile,,Veppankulam,,, Galkotuwa
,Embilmeegama,,Diyagala,,Veppankulam South,,, Galloba
,Embitiyawa,,Diyagama,,"Veravil, Vettilaikkerni",,, Galmulla
,Embulambe,,Diyahitiyawala,,Vettaimakkalkudiyiruppu,,, Galoba
,Embulpure,,Diyainna,,Vidattalkaddusinnakulam,,, Galtumbe
,Enasalmada,,Diyapota,,Vidattalpalai,,, Galula
,Endarutenna,,Diyasunnata,,Vidattaltivu,,, Galwalalla
,Enkendagolla,,Diyawinna,,Vidaththal-Pazhai,,, Galwangedipola
,Eramudugolla,,Dodammuluwa,,Vidaththal-Munai,,, Galwetiya
,Eramuduliyadda,,Dodampe,,Vidaththal-kaddu chinnak-kulam,,, Gambedda
,Erawula Pahalagama,,Dodampegoda,,"Vilan, Vilathikulam",,, Gamekumbura
,Eregoda,,Dodampitiya,,Villamparuku,,, Gamewela
,Ereula Pahalagama,,Dodantale,,Vimankallu,,, Gampaha
,Etabendiwewa,,Dodawatta,,Vira Manikkatevan Turai,,, Gangoda
,Etakehellanda,,Dolekanda,,Viyaddikkulam,,, Gangoda-arawa
,Etambagahawatta,,Doloswala,,Viyaparimulai,,, Gangodagama
,Etambagahawatta Udispattu,,Doloswalkanda,,Viyayadippannai,,, Gangodapanguwa
,Etambagolla,,Dombagammana,,,,, Gannekkumbura
,Etambegoda,,Dombagaswinna,,,,, Gannekumbura
,Etamulla,,Dombemada,,,,, Garandiulla
,Etipola,,Dombepola,,,,, Gasgolla
,Etulgama,,Dompemulla,,,,, Gawalagama
,Gabbala,,Dompitiya,,,,, Gawarammana
,Gadaladeniya,,Dooldeniya,,,,, Gawarawela
,Galabadawatta,,Doolgala,,,,, Gawela
,Galabawa,,Doranuwa,,,,, Gedarakumbura
,Galaboda,,Dorapane,,,,, Gediwila
,Galabodawatta,,Dorawaka,,,,, Gerandibakinna
,Galagama,,Dorawela,,,,, Gerendiela
,Galagedara,,Duldeniya,,,,, Ginigathgala
,Galagoda,,Dumbara Dumbuluwa,,,,, Gira-andura
,Galaha,,Dumbuluwawa,,,,, Giragammana
,Galaha Town,,Dumbuluwawaka,,,,, Giramba
,Galahitiyagama,,Dumbuluwewa,,,,, Giranduwa
,Galahitiyawa,,Dummaladeniya,,,,, Giriwara
,Galaliyadda,,Dunugama,,,,, Godahena
,Galamuduna,,Dunukewala,,,,, Godawelipokuna Hela
,Galata,,Dunumale,,,,, Godayagama
,Galauda,,Dunumandalawa,,,,, Godegama
,Galaudahena,,Duragekanda,,,,, Godigamuwa
,Galboda,,Durakanda,,,,, Godunna
,Galdola,,Ebetota,,,,, Gomagoda
,Galewela,,Ebidigala,,,,, Gonabokka
,Galgomuwa,,Edanduwawa,,,,, Gonagala
,Galhinna,,Edurapola,,,,, Gonamotawa
,Galkadawela,,Edurapota,,,,, Gonatalawa
,Galketiwela,,Egalla,,,,, Gonatibbatugolla
,Gallahawatta,,Egallekanda,,,,, Gonawala
,Gallella,,Eggodakanda,,,,, Goniketiya
,Gallinda,,Egodagoda,,,,, Gonkatuwa
,Galpitiya,,Egodakanda,,,,, Gontalawa
,Galuke,,Egodawatugoda,,,,, Gorandihela
,Galwadukumbura,,Egolla,,,,, Gotamegama
,Galwaduwagama,,Ehalagaha-arawa,,,,, Gotuwela
,Galwangedihena,,Ehelekumbura,,,,, Goussa
,Galwetiyaya,,Eheliyagoda,,,,, Goussagama
,Gammaduwa,,Ekiriyagala Ekneligoda,,,,, Gungoda-arawa
,Gammulla,,Ela-Ihala,,,,, Guruhela
,Gammunukumbura,,Elagalla,,,,, Gurukumbura
,Gampola,,Elamaideniya,,,,, Gurumada
,Gampola Town,,Elamalpe,,,,, Gurumada
,Gampolawela,,Elangipitiya,,,,, Gurupanwela
,Gamunukumbura,,Elapata,,,,, Gurupihilla
,Ganegalagammedda,,Elibodakanda,,,,, Gurutalawa
,Ganegoda,,Ella,,,,,Habessa
,Gangahenwala,,Ellawala,,,,, Hadiakumbura
,Gangoda,,Ellawala Ihalagama,,,,, Hakgala
,Gangodagammedda,,Ellawala Pahalagama,,,,, Halatutenna
,Gangodapitiya,,Ellearawa,,,,, Haldummulla
,Ganguldeniya,,Ellegedara,,,,, Haldumulla
,Ganhata,,Ellehena,,,,, Hali Ela
,Gankewala,,Ellekanda,,,,, Halpe
,Gankewela,,Ellepola Ellewatta,,,,, Hamagolla
,Gannoruwa,,Elugala,,,,, Hamanawa
,Gansarapola,,Elugalla,,,,, Hamapola
,Gedaramada,,Eluwana,,,,, Hambegamuwa
,Gedarawela,,Eluwana,,,,, Handiyakumbura
,Gelioya,,Embilipitiya,,,,, Hangilie-ella
,Gerandigala,,Embilipitiya Pallegama,,,,, Hangiliella
,Getambe,,Embilmiwala,,,,, Hangunnawa
,Getiyawala,,Embuldeniya,,,,, Hanthiyawa
,Gettapola,,Embulmiwala,,,,, Hanukatapitiya
,Gettiyawala,,Emitiyagoda,,,,, Hanwella
,Giddawa,,Endana,,,,, Hapatgamuwa
,Ginigathena,,Endirikele,,,,, Happoruwa
,Ginnoruwa,,Endiriyanwala,,,,, Hapugolla
,Giragama,,Epalapitiya,,,,, Haputale
,Giragma,,Epalatotuwa Epalawa,,,,, Haputalegama
,Girahagama,,Epitawala,,,,, Harakgamakanda
,Girantalawa,,Eppelapitiya,,,,, Harankahawa
,Giraulla,,Erabadda,,,,, Hathkinda
,Girihagama,,Erabadupela,,,,, Havanawela
,Godagama,,Erabedda,,,,, Heenapahuwa
,Godagandeniya,,Erabudupitiya,,,,, Heewelkandura
,Godakumbura,,Erabuduwala,,,,, Hegoda
,Godamuna,,Eraminigammana,,,,, Hela Tuntala
,Godamuduna,,Eratnagoda,,,,, Hela-alagolla
,Godamunna,,Eregama,,,,, Heladangamuwa
,Godapola,,Erepola,,,,, Helauda
,Godapussa,,Ereporuwa,,,,, Helaula
,Godatale,,Ereporuwa,,,,, Hemagolla
,Godawela,,Erevupola,,,,, Hemakandapitiya
,Godigamuwa,,Eriyawa,,,,, Henditiyawa
,Golahenwatta,,Etaheraliyagoda,,,,, Henebadda
,Golegammana,,Etawakwala,,,,, Hepola
,Gollangolla,,Etnawala,,,,, Hetekma
,Gomadale,,Etoya,,,,, Hevelwela
,Gomagoda,,Evunugalla,,,,, Hewanwatta
,Gonapola,,Gabbala,,,,, Hewelkandura
,Gonawala,,Gabbela,,,,, Hidagama
,Gonawatta,,Gabbelawatta,,,,, Hidagamawatta
,Gonawela,,Gadapola,,,,, Hidikiula
,Gondeniya,,Galadeniya,,,,, Hinapanuwa
,Gondewala,,Galahitigama,,,,, Hindagoda
,Gonigoda,,Galahitiya,,,,, Hingurugamuwa
,Govindala,,Galamella,,,,, Hingurukaduwa
,Gunadaha,,Galapahalagama,,,,, Hinnarangahakumbura
,Gunnepana Gabadagama,,Galapaya,,,,, Hinnarangolla
,Gunnepana Madige,,Galapitamada,,,,, Hinnariyamala
,Gunnepana Pallegammedda,,Galapitimada,,,,, Hirimole
,Gunnepana Udagammedda,,Galatara,,,,, Hiripitiya
,Gurubebila,,Galaudakanda,,,,, Horabokka
,Gurudeniya,,Galayatakanatta,,,,, Horabora
,Gurugala Ella,,Galboda Galbokaya,,,,, Horadaruwa
,Gurugama,,Galenda,,,,, Horadoruwa
,Gurukete,,Galgomuwa,,,,, Horagune
,Gurulupota,,Galkaduwa,,,,, Horambuwa
,Guruwela,,Galkanda,,,,, Horatota
,Hakmana,,Galkandagoda,,,,, Horoumbawa
,Hakurutale,,Galkerekanda,,,,, Hulandawa
,Haladiwela,,Galketiya,,,,, Humbahemada
,Halagama,,Gallassapola,,,,, Hunuketapitiya
,Halangoda,,Gallela,,,,, Huratgamuwa
,Halgolla,,Gallelletota,,,,,Ibbanella
,Haliyadda,,Gallenakanda,,,,, Idalgashinna
,Haliyala,,Gallinna,,,,, Idambowa
,Haliyedde,,Galpallelanda,,,,, Idamegama
,Halmehikandura,,Galpata,,,,, Ihala Pewuwewa
,Halminiya,,Galpaya,,,,, Ihala Pewwewa
,Halpola,,Galpola,,,,, Ihawa
,Handabowa,,Galukagama,,,,, Ikiriyanpola
,Handaganawa,,Galwalagoda,,,,, Ilakkepudena and Dumbadawellawa
,Handessa,,Gamagepetta,,,,, Illuka
,Hangaran Oya,,Gamekkanda,,,,, Illukpelessa
,Hangarandeniya,,Gamikkanda,,,,, Illuktenna
,Hangarapitiya,,Gammanagoda,,,,, Ilukarawa
,Hangran Oya,,Gammannagoda,,,,, Ilukketiya
,Hanguranketa,,Gammedda,,,,, Ilukkumbura
,Hanguranketa Town,,Gampalawalakada,,,,, Ilukpelessa
,Hanwella,,Ganegama,,,,, Iluktenna
,Happawara,,Ganegangoda,,,,, Ilukwelagama
,Hapudandawala,,Ganegoda,,,,, Imbulgoda
,Hapudandawela,,Gangalagomuwa Gangekumbura,,,,, Inawella
,Hapugaha-Arawa,,Gangoda,,,,, Indigasella
,Hapugahamulla,,Gangodagama,,,,, Indigaswala
,Hapugahapitiya,,Gangodakanda,,,,, Inginiyagala
,Hapugaharawa,,Gangodakumbura,,,,, Inginiyalgala
,Hapugasdeniya,,Gangulwitiya,,,,, Inipanduregoda
,Hapugaspitiya,,Ganitapura,,,,, Iriwendumpola
